Titles,Links
Zellij: A terminal workspace with batteries included,https://zellij.dev/
Helen Keller on her life before self-consciousness,http://scentofdawn.blogspot.com/2011/07/before-soul-dawn-helen-keller-on-her.html
"Majorana, the search for the most elusive neutrino of all",https://newscenter.lbl.gov/2012/05/16/majorana-demonstrator/
"Microsoft, Khan Academy Partner to Make Khanmigo Teaching Tool Free",https://thejournal.com/Articles/2024/05/21/Microsoft-Khan-Academy-Partner-to-Make-Khanmigo-Teaching-Tool-Free.aspx
Abusing Go's Infrastructure,https://reverse.put.as/2024/05/24/abusing-go-infrastructure/
'I was misidentified as shoplifter by facial recognition tech',https://www.bbc.com/news/technology-69055945
Making my dumb A/C smart with Elixir and Nerves,https://www.milanvit.net/post/making-my-dumb-a-c-smart-with-elixir-and-nerves/
Diffusion Models,https://andrewkchan.dev/posts/diffusion.html
Why is x & -x equal to the largest power of 2 that divides x?,https://arunmani.in/articles/highest-two-power-to-divide-a-number/
Taming floating-point sums,https://orlp.net/blog/taming-float-sums/
"So good, it works on barbed wire (2001)",https://www.sigcon.com/Pubs/edn/SoGoodBarbedWire.htm
Medieval Bologna was full of tall towers,https://www.openculture.com/2024/05/why-medieval-bologna-was-full-of-tall-towers-and-what-happened-to-them.html
Voxel Displacement Renderer – Modernizing the Retro 3D Aesthetic,https://blog.danielschroeder.me/2024/05/voxel-displacement-modernizing-retro-3d/
Startup is about to install bladeless rooftop wind turbines on box buildings,https://electrek.co/2024/05/24/bladeless-rooftop-wind-turbines-box-buildings/
Fathom AI Notetaker (YC W21) Is Hiring Full-Stack Engineers (Remote),https://www.ycombinator.com/companies/fathom/jobs/OVTRjXb-full-stack-engineer-remote
The Cognitive Design of Tools of Thought (2014) [pdf],http://gjgreenberg.bol.ucla.edu/docs/rpp/04_tversky.pdf
Show HN: I built an Obsidian plugin to create notes from BibTeX,https://github.com/akopdev/obsidian-bibtex-manager
A connection between the northern lights and Hubble's death,https://bigthink.com/starts-with-a-bang/northern-lights-hubble/
Rootless Docker in a multi-user environment,https://www.cmtops.dev/posts/rootless-docker-in-multiuser-environment/
Lessons Learned from My First Roblox Game,https://mandeepbhutani.com/blog
&udm=14 – easy access to an AI-free Google search,https://udm14.com/
"Animating Ptolemy's Equant with Python, SVG, and CSS",https://rhodesmill.org/brandon/2019/animating-the-equant/
Goodix Fingerprint Drivers for Linux (Or at Least Debian),https://github.com/tcsenpai/goodix-debian-linux-drivers-fingerprint-by-dell
People spend more when prices end in .99 (2018),https://kenthendricks.com/99-cent-prices/
Ian Clarke explains the next generation of Freenet [video] (2023),https://www.youtube.com/watch?v=yBtyNIqZios
Looking Glass debuts 16-inch OLED and 32-inch 'holographic' spatial displays,https://petapixel.com/2024/05/14/looking-glass-debuts-16-inch-oled-and-32-inch-holographic-spatial-displays/
The Prophet Who Failed,https://harpers.org/archive/2024/06/the-prophet-who-wasnt-after-the-apocalypse-that-failed-emily-harnett/
Single atom defect in 2D material can hold quantum information at room temp,https://phys.org/news/2024-05-scientists-atom-defect-2d-material.amp
Ask HN: What is your ChatGPT customization prompt?,https://news.ycombinator.com/item?id=40474716
Japan's clothes-drying bathrooms,https://www.bloomberg.com/news/articles/2024-05-22/laundry-lessons-from-japanese-bathroom-technology
